month,hour,renewable_available,avg_power_kw,sample_count
1,0,0.0,0.0,31
1,1,0.0,0.0,31
1,2,0.0,0.0,31
1,3,0.0,0.0,31
1,4,0.0,0.0,31
1,5,0.0,0.0,31
1,6,0.0,0.0,31
1,7,0.0,0.0,31
1,8,0.042535967741935486,42.53596774193549,31
1,9,0.09797629032258065,97.97629032258065,31
1,10,0.1284768548387097,128.47685483870967,31
1,11,0.14638459677419355,146.38459677419354,31
1,12,0.15654564516129033,156.54564516129034,31
1,13,0.1532027419354839,153.20274193548389,31
1,14,0.12790233870967743,127.90233870967742,31
1,15,0.09902637096774194,99.02637096774194,31
1,16,0.05770290322580645,57.70290322580645,31
1,17,8.145161290322582e-05,0.0814516129032258,31
1,18,0.0,0.0,31
1,19,0.0,0.0,31
1,20,0.0,0.0,31
1,21,0.0,0.0,31
1,22,0.0,0.0,31
1,23,0.0,0.0,31
2,0,0.0,0.0,28
2,1,0.0,0.0,28
2,2,0.0,0.0,28
2,3,0.0,0.0,28
2,4,0.0,0.0,28
2,5,0.0,0.0,28
2,6,0.0,0.0,28
2,7,3.669642857142858e-05,0.03669642857142857,28
2,8,0.059929196428571425,59.92919642857143,28
2,9,0.11487580357142857,114.87580357142856,28
2,10,0.15103446428571426,151.03446428571428,28
2,11,0.17111035714285713,171.11035714285714,28
2,12,0.17107330357142855,171.07330357142857,28
2,13,0.17113098214285713,171.13098214285714,28
2,14,0.14738723214285712,147.38723214285713,28
2,15,0.11616955357142857,116.16955357142857,28
2,16,0.07557875,75.57875,28
2,17,0.018428035714285716,18.428035714285713,28
2,18,0.0,0.0,28
2,19,0.0,0.0,28
2,20,0.0,0.0,28
2,21,0.0,0.0,28
2,22,0.0,0.0,28
2,23,0.0,0.0,28
3,0,0.0,0.0,31
3,1,0.0,0.0,31
3,2,0.0,0.0,31
3,3,0.0,0.0,31
3,4,0.0,0.0,31
3,5,0.0,0.0,31
3,6,0.0,0.0,31
3,7,0.016302983870967742,16.302983870967743,31
3,8,0.07531725806451613,75.31725806451614,31
3,9,0.12195701612903226,121.95701612903225,31
3,10,0.1512858064516129,151.2858064516129,31
3,11,0.1760406451612903,176.04064516129034,31
3,12,0.17776846774193547,177.7684677419355,31
3,13,0.18246798387096774,182.4679838709677,31
3,14,0.1628625806451613,162.8625806451613,31
3,15,0.12755629032258065,127.55629032258065,31
3,16,0.08121395161290322,81.21395161290323,31
3,17,0.028941854838709678,28.941854838709677,31
3,18,0.00030806451612903224,0.30806451612903224,31
3,19,0.0,0.0,31
3,20,0.0,0.0,31
3,21,0.0,0.0,31
3,22,0.0,0.0,31
3,23,0.0,0.0,31
4,0,0.0,0.0,30
4,1,0.0,0.0,30
4,2,0.0,0.0,30
4,3,0.0,0.0,30
4,4,0.0,0.0,30
4,5,0.0,0.0,30
4,6,0.0031204166666666667,3.1204166666666664,30
4,7,0.04314916666666667,43.149166666666666,30
4,8,0.09620150000000001,96.2015,30
4,9,0.139652,139.652,30
4,10,0.16773108333333334,167.73108333333334,30
4,11,0.18761941666666668,187.61941666666667,30
4,12,0.2010334166666667,201.03341666666665,30
4,13,0.18567433333333333,185.67433333333335,30
4,14,0.16294975,162.94975,30
4,15,0.12814325000000001,128.14325,30
4,16,0.08125258333333334,81.25258333333333,30
4,17,0.033744333333333335,33.74433333333334,30
4,18,0.0046825,4.6825,30
4,19,0.0,0.0,30
4,20,0.0,0.0,30
4,21,0.0,0.0,30
4,22,0.0,0.0,30
4,23,0.0,0.0,30
5,0,0.0,0.0,31
5,1,0.0,0.0,31
5,2,0.0,0.0,31
5,3,0.0,0.0,31
5,4,0.0,0.0,31
5,5,3.862903225806452e-05,0.03862903225806452,31
5,6,0.009319435483870969,9.319435483870969,31
5,7,0.04591975806451613,45.91975806451613,31
5,8,0.09541225806451613,95.41225806451614,31
5,9,0.13531774193548388,135.31774193548387,31
5,10,0.15282080645161292,152.8208064516129,31
5,11,0.16173870967741935,161.73870967741937,31
5,12,0.16698629032258064,166.98629032258063,31
5,13,0.1539535483870968,153.9535483870968,31
5,14,0.12002379032258065,120.02379032258065,31
5,15,0.10067766129032259,100.67766129032258,31
5,16,0.06317491935483871,63.174919354838714,31
5,17,0.029861290322580645,29.861290322580643,31
5,18,0.008341935483870968,8.341935483870968,31
5,19,0.00010596774193548386,0.10596774193548388,31
5,20,0.0,0.0,31
5,21,0.0,0.0,31
5,22,0.0,0.0,31
5,23,0.0,0.0,31
6,0,0.0,0.0,30
6,1,0.0,0.0,30
6,2,0.0,0.0,30
6,3,0.0,0.0,30
6,4,0.0,0.0,30
6,5,0.0008603333333333333,0.8603333333333334,30
6,6,0.010529249999999999,10.52925,30
6,7,0.04142208333333333,41.42208333333333,30
6,8,0.08448333333333333,84.48333333333333,30
6,9,0.10932116666666666,109.32116666666667,30
6,10,0.14177325,141.77325,30
6,11,0.15157841666666666,151.57841666666667,30
6,12,0.15328575000000003,153.28575,30
6,13,0.14029,140.29,30
6,14,0.12078325,120.78325,30
6,15,0.09631083333333333,96.31083333333333,30
6,16,0.06769266666666666,67.69266666666667,30
6,17,0.034633083333333335,34.63308333333334,30
6,18,0.010018250000000001,10.01825,30
6,19,0.0019027500000000001,1.90275,30
6,20,0.0,0.0,30
6,21,0.0,0.0,30
6,22,0.0,0.0,30
6,23,0.0,0.0,30
7,0,0.0,0.0,31
7,1,0.0,0.0,31
7,2,0.0,0.0,31
7,3,0.0,0.0,31
7,4,0.0,0.0,31
7,5,0.00012475806451612903,0.12475806451612904,31
7,6,0.00756016129032258,7.56016129032258,31
7,7,0.04135443548387097,41.35443548387097,31
7,8,0.08902733870967741,89.02733870967742,31
7,9,0.1260773387096774,126.07733870967742,31
7,10,0.1553708064516129,155.3708064516129,31
7,11,0.16998274193548388,169.9827419354839,31
7,12,0.17358016129032258,173.58016129032256,31
7,13,0.1698107258064516,169.81072580645161,31
7,14,0.15379629032258066,153.79629032258063,31
7,15,0.12212443548387097,122.12443548387097,31
7,16,0.08428943548387097,84.28943548387097,31
7,17,0.04085290322580645,40.85290322580646,31
7,18,0.00784540322580645,7.845403225806452,31
7,19,0.002074435483870968,2.074435483870968,31
7,20,0.0,0.0,31
7,21,0.0,0.0,31
7,22,0.0,0.0,31
7,23,0.0,0.0,31
8,0,0.0,0.0,31
8,1,0.0,0.0,31
8,2,0.0,0.0,31
8,3,0.0,0.0,31
8,4,0.0,0.0,31
8,5,0.0,0.0,31
8,6,0.004145161290322581,4.14516129032258,31
